,1
0,493.49180072546005
1,474.68094116449356
2,490.0200911164284
3,219.2455753684044
4,629.1385622024536
5,559.1505675911903
6,405.7437695264816
7,549.4228250980377
8,291.4092784523964
9,297.5894420146942
10,539.7914457917213
11,383.98824536800385
12,471.8584384918213
13,374.1994974017143
14,336.3622769713402
15,425.1879984140396
16,301.18000304698944
17,408.4795861840248
18,338.6447547674179
19,439.67781496047974
20,565.1248241066933
21,540.7431556582451
22,458.58918899297714
23,358.8075895309448
24,580.2473673820496
25,469.25163197517395
26,313.8147785663605
27,600.3175482749939
28,538.7457720041275
29,306.4820656776428
30,325.28963470458984
31,384.4948686361313
32,533.4230515360832
33,432.9925749897957
34,513.58279722929
35,490.12277060747147
36,524.8155111670494
37,540.2228014469147
38,476.329481780529
39,484.5611289739609
40,329.9457741379738
41,536.133934378624
42,311.4469348192215
43,376.54921865463257
44,491.3260188102722
45,464.0169783234596
46,483.73487663269043
47,499.7894133925438
48,517.3667930960655
49,444.1077235341072
50,465.9540519118309
51,424.5002525448799
52,497.8659135699272
53,479.72592264413834
54,466.2316814661026
55,309.88282161951065
56,266.9145575761795
57,395.50855565071106
58,447.48800802230835
59,554.6670387387276
60,372.6252518296242
61,511.7781235575676
62,488.9270011782646
63,589.0849058032036
64,401.26062232255936
65,331.67164343595505
66,357.6324889063835
67,546.6002843976021
68,365.1629892587662
69,505.42005956172943
70,542.6842979192734
71,547.0156556367874
72,538.0379840135574
73,510.0227366089821
74,415.92837715148926
75,467.8985773921013
76,254.58068239688873
77,395.1359601020813
78,397.7171609401703
79,397.3127372264862
80,481.6233862042427
81,406.49257546663284
82,417.23945182561874
83,374.6436903476715
84,482.67243868112564
85,512.0567374825478
86,556.5094577670097
87,302.461588203907
88,529.6425117254257
89,491.9511491060257
90,382.41774624586105
91,516.0176703929901
92,506.4016374349594
93,614.0890946388245
94,546.3969575762749
95,358.45053458213806
96,474.3664612174034
97,515.816568672657
98,495.512670814991
99,531.0253956913948
100,356.3350210785866
101,496.2054513692856
102,331.8827415704727
103,394.47900354862213
104,400.5119271874428
105,573.2043995857239
106,247.14010882377625
107,483.161387860775
108,557.5607592463493
109,409.1087597608566
110,532.3222091197968
111,480.5258402824402
112,274.8704163432121
113,450.91578447818756
114,297.6409338712692
115,462.5362576842308
116,610.7684687376022
117,516.4513166546822
118,523.1269929409027
119,443.53138107061386
120,407.47134763002396
121,460.3715238571167
122,421.5647719502449
123,434.4486135840416
124,261.17718827724457
125,655.3467494249344
126,394.32435232400894
127,427.727885723114
128,401.23252815008163
129,543.2505592107773
130,485.894886136055
131,390.16111224889755
132,597.0683718919754
133,374.43058490753174
134,510.70869666337967
135,440.5662844181061
136,531.7282479405403
137,455.74819856882095
138,235.70892119407654
139,615.930001437664
140,516.6773641109467
141,487.30988574028015
142,467.0220544934273
143,448.3852137327194
144,452.0867856144905
145,511.27858543395996
146,509.66256296634674
147,442.33910143375397
148,397.44092309474945
149,512.2845093607903
150,370.4232337474823
151,533.1938426494598
152,534.7466852664948
153,469.4396336078644
154,496.1172072291374
155,627.4665652513504
156,385.2895780801773
157,397.5113598704338
158,456.6590702533722
159,423.7878785729408
160,540.3432766795158
161,354.03340953588486
162,490.26463770866394
163,516.0880209207535
164,504.8618080019951
165,598.9173876643181
166,217.7605836391449
167,287.10546696186066
168,354.49746680259705
169,543.6331319212914
170,377.13091588020325
171,380.12028300762177
172,369.2733904123306
173,438.25369560718536
174,399.77326625585556
175,434.9434738755226
176,448.95328265428543
177,504.7102832198143
178,445.40093487501144
179,466.4436212182045
180,380.9153382182121
181,501.4652755856514
182,465.64539712667465
183,353.18439096212387
184,490.19040393829346
185,477.770832657814
186,449.84238934516907
187,442.83847683668137
188,402.9837954044342
189,548.671608030796
190,403.32980930805206
191,502.0331016778946
192,483.72789192199707
193,498.73403012752533
194,525.7818160653114
195,353.5738837122917
196,440.40699219703674
197,464.9380787014961
198,424.7762488126755
199,535.2805377840996
200,259.16858327388763
201,638.4082429409027
202,416.7762641906738
203,444.40832448005676
204,452.6082276105881
205,353.75999242067337
206,403.58168613910675
207,529.1376633048058
208,322.17407351732254
209,611.5912821888924
210,439.4074947834015
211,594.259039580822
212,376.29569071531296
213,515.6179769039154
214,474.67355155944824
215,247.92259514331818
216,349.01752281188965
217,561.3374227285385
218,530.9851242899895
219,440.1907462477684
220,430.796709895134
221,465.0253047347069
222,427.99476820230484
223,462.4760092496872
224,370.82986932992935
225,464.04960030317307
226,326.7695024609566
227,565.946731030941
228,450.4481168985367
229,336.26479268074036
230,410.87856417894363
231,508.4782010912895
232,399.41224908828735
233,446.3874703645706
234,548.5387822389603
235,498.19400787353516
236,443.91043841838837
237,467.9385861158371
238,561.3498376011848
239,568.1529250741005
240,587.6472774744034
241,528.7342982888222
242,442.23731899261475
243,390.72133564949036
244,343.9163048863411
245,500.8858309984207
246,367.86898052692413
247,504.8355603814125
248,481.6223727464676
249,549.8464087247849
250,375.2144010066986
251,522.475899875164
252,465.0653957724571
253,483.0621148943901
254,517.0169824361801
255,403.76446747779846
256,527.7076440453529
257,533.7779840230942
258,277.2382410168648
259,344.0673391222954
260,466.723728954792
261,390.32088297605515
262,545.6484983563423
263,597.6365384459496
264,418.8387423157692
265,422.78867131471634
266,569.0748364925385
267,476.26826626062393
268,344.32654082775116
269,493.6793375611305
270,418.0682993531227
271,578.3152198791504
272,532.4479755163193
273,385.3202672600746
274,560.7325254678726
275,339.49165123701096
276,442.71954560279846
277,381.12272280454636
278,476.84898018836975
279,495.0440908074379
280,602.9566395878792
281,359.81956374645233
282,393.499935567379
283,453.91116285324097
284,573.1120968461037
285,286.2172694206238
286,464.5824107527733
287,501.15400087833405
288,596.6759947538376
289,456.2399677038193
290,566.5784428715706
291,419.20262426137924
292,557.3330654501915
293,310.0451513528824
294,390.0227997303009
295,436.250339448452
296,375.21037089824677
297,407.12155854701996
298,490.3742895722389
299,485.521980881691
300,480.73798513412476
301,382.09825801849365
302,499.55381006002426
303,436.82050132751465
304,295.4667847752571
305,359.301034450531
306,361.6284080147743
307,426.4694473743439
308,610.9938669800758
309,549.6106932759285
310,274.6288792490959
311,456.4522337913513
312,446.8392699956894
313,431.2311692237854
314,291.56829673051834
315,413.95630526542664
316,494.9247407913208
317,460.86178094148636
318,524.5520414710045
319,464.83544701337814
320,472.0503395795822
321,408.31238782405853
322,489.1910660266876
323,521.3336836695671
324,574.8229840993881
325,471.5037707686424
326,517.2287637591362
327,458.0986917614937
328,515.1936487555504
329,476.5723025202751
330,580.7883107662201
331,493.1162150502205
332,518.7726429104805
333,429.88081604242325
334,382.8941641449928
335,605.3541632890701
336,485.1928793787956
337,559.9668434262276
338,515.9285655021667
339,470.68629598617554
340,461.34783178567886
341,442.73103123903275
342,445.6674923300743
343,381.06639778614044
344,483.59941506385803
345,314.82634741067886
346,485.6091490983963
347,530.9921489357948
348,569.1488216519356
349,398.2508203983307
350,449.2016324400902
351,444.07208079099655
